time,treat,conversion
587,treatment,0
587,control,0
588,control,0
588,control,0
588,treatment,0
589,control,0
589,treatment,0
589,treatment,0
590,treatment,1
590,treatment,0
590,treatment,0
591,treatment,0
592,treatment,0
593,treatment,0
594,control,0
596,treatment,0
597,treatment,1
599,control,1
600,control,1
600,control,0
601,treatment,0
602,control,0
602,treatment,0
603,treatment,0
604,control,0
606,control,0
607,control,1
607,treatment,0
609,treatment,0
612,treatment,0
612,control,0
612,treatment,0
614,control,0
614,control,0
615,control,0
616,control,0
616,control,0
616,control,0
618,control,0
620,control,0
621,control,0
622,control,0
624,treatment,0
624,control,0
625,control,0
625,control,0
626,control,0
626,control,0
626,treatment,0
626,treatment,0
627,control,0
627,control,0
627,treatment,0
628,treatment,0
630,control,0
630,control,0
631,treatment,0
631,treatment,0
635,control,0
636,treatment,0
636,treatment,0
636,treatment,0
637,control,0
638,control,0
638,treatment,0
639,control,0
639,control,0
640,control,0
640,control,0
642,control,0
645,control,0
645,control,0
647,control,0
648,treatment,0
648,control,0
648,control,0
649,control,0
649,control,0
650,treatment,0
650,control,0
650,treatment,0
650,treatment,0
651,treatment,0
651,control,0
651,control,0
651,control,0
651,treatment,0
652,treatment,0
653,treatment,0
653,control,0
653,control,0
654,treatment,0
656,treatment,0
658,treatment,0
658,treatment,0
658,treatment,0
659,control,0
659,treatment,0
660,treatment,0
660,treatment,0
660,control,0
662,treatment,0
665,control,0
665,treatment,0
665,control,0
665,control,0
667,treatment,0
668,control,0
669,treatment,0
670,treatment,0
670,control,0
670,treatment,0
671,control,0
671,treatment,0
671,treatment,0
673,treatment,0
673,control,0
675,control,0
676,treatment,0
676,control,0
677,treatment,0
677,treatment,0
677,control,0
678,control,0
679,treatment,0
679,control,0
681,treatment,0
681,control,0
682,control,0
682,control,0
682,treatment,0
682,treatment,0
683,treatment,0
685,treatment,0
686,control,0
687,treatment,0
687,control,0
689,control,0
689,treatment,0
691,control,0
691,control,0
692,treatment,0
692,treatment,0
693,control,0
693,control,0
693,control,0
698,treatment,0
704,treatment,0
704,control,0
704,treatment,1
705,control,0
705,control,0
705,control,0
706,treatment,0
706,treatment,0
709,control,0
709,control,0
710,control,0
710,treatment,0
711,control,0
711,treatment,0
712,treatment,0
713,treatment,0
714,control,0
714,control,0
714,control,0
716,treatment,0
716,treatment,0
718,treatment,0
718,treatment,0
719,control,0
720,treatment,1
721,control,0
722,treatment,0
722,control,0
724,control,0
724,treatment,0
724,control,0
725,control,1
726,treatment,0
727,control,0
727,control,0
728,treatment,0
732,control,0
732,treatment,0
732,treatment,0
732,treatment,0
732,control,0
733,treatment,0
734,treatment,0
734,control,0
734,control,0
736,control,0
737,treatment,0
739,treatment,0
740,treatment,0
740,treatment,0
741,treatment,0
743,control,0
745,control,0
747,treatment,0
747,control,0
748,control,0
750,treatment,0
750,control,0
751,treatment,0
751,treatment,0
753,treatment,0
753,control,0
754,control,0
754,control,1
755,control,0
756,treatment,0
756,treatment,0
757,treatment,0
758,treatment,0
758,control,0
759,control,0
759,control,0
761,control,0
761,control,0
761,control,0
761,treatment,0
761,control,0
762,control,1
762,control,0
762,control,0
764,control,0
764,control,0
765,treatment,0
766,treatment,0
767,treatment,0
767,treatment,0
767,control,0
768,control,0
769,control,1
769,control,0
771,treatment,1
771,treatment,0
771,control,0
771,treatment,0
772,control,0
772,treatment,0
773,control,0
774,control,0
774,control,0
775,treatment,1
776,treatment,0
777,treatment,0
778,control,0
778,control,0
778,control,0
779,treatment,0
779,control,0
780,control,0
781,treatment,0
782,treatment,0
784,treatment,0
785,treatment,0
786,control,0
788,control,0
788,control,0
789,treatment,0
790,treatment,0
792,control,0
792,treatment,0
793,control,0
796,control,0
796,control,0
798,treatment,0
798,treatment,0
799,control,0
799,treatment,0
800,control,0
803,control,0
803,treatment,0
804,control,0
804,control,0
804,treatment,0
804,treatment,0
805,treatment,0
807,control,0
808,treatment,0
809,treatment,0
809,control,0
809,treatment,0
810,treatment,0
812,treatment,0
813,treatment,0
814,treatment,0
814,treatment,0
815,treatment,0
815,control,0
816,treatment,0
817,control,0
819,control,0
819,control,0
820,control,0
821,control,0
822,control,0
823,treatment,0
825,treatment,0
825,control,0
826,treatment,0
826,treatment,0
827,control,0
828,treatment,0
828,control,0
828,control,0
830,control,0
832,control,0
832,treatment,0
833,treatment,0
833,control,0
834,treatment,0
835,treatment,1
835,control,0
836,treatment,0
836,treatment,0
837,control,0
838,control,0
838,control,0
838,control,0
839,control,0
839,treatment,0
839,control,0
842,control,0
842,control,0
842,control,0
842,treatment,0
843,treatment,0
843,treatment,0
844,treatment,0
844,control,0
845,control,1
846,treatment,0
846,treatment,0
847,control,0
848,treatment,0
849,treatment,0
850,treatment,0
851,treatment,0
851,control,0
852,treatment,0
852,control,0
852,treatment,0
853,treatment,0
854,treatment,0
854,treatment,0
854,control,0
856,control,0
857,treatment,0
857,treatment,0
858,treatment,0
859,control,0
861,treatment,0
863,control,0
863,treatment,0
863,treatment,0
864,control,0
865,control,0
866,control,0
867,treatment,0
869,control,0
870,treatment,0
873,control,0
873,treatment,1
875,control,0
875,control,1
876,treatment,0
876,control,0
878,control,0
878,treatment,0
879,control,0
879,treatment,0
879,control,0
879,control,0
880,control,0
880,control,0
882,treatment,0
882,control,0
884,control,0
884,treatment,0
885,treatment,0
885,control,0
887,control,0
889,treatment,0
889,treatment,0
889,control,0
890,control,0
890,treatment,0
891,control,0
893,control,0
893,control,0
895,treatment,0
895,treatment,0
896,treatment,0
897,treatment,0
901,treatment,0
901,control,0
901,treatment,0
901,treatment,0
902,control,1
904,control,0
904,control,0
905,treatment,0
907,treatment,0
909,control,0
910,control,0
911,control,0
911,control,0
912,control,1
912,control,0
913,treatment,0
913,treatment,0
913,control,0
915,treatment,0
915,control,0
915,control,0
916,control,0
916,control,0
917,control,0
917,control,0
917,control,0
918,treatment,0
918,treatment,0
919,control,0
920,control,0
920,treatment,0
921,treatment,0
923,treatment,0
923,control,0
924,treatment,0
924,treatment,0
926,treatment,1
927,treatment,0
927,treatment,0
928,control,0
929,control,0
929,control,0
931,control,0
932,treatment,1
933,control,0
935,control,0
935,control,0
936,control,0
938,control,0
938,treatment,0
939,control,0
939,control,0
939,treatment,1
939,control,0
940,control,0
940,treatment,0
941,treatment,0
942,treatment,0
942,treatment,0
943,control,0
943,treatment,0
945,control,0
946,treatment,0
946,treatment,0
947,control,0
949,treatment,0
949,control,0
949,treatment,0
949,control,0
950,control,0
950,treatment,0
951,treatment,0
952,control,0
952,treatment,0
953,treatment,0
953,control,0
953,treatment,0
954,treatment,0
955,treatment,0
955,control,0
957,treatment,0
958,treatment,0
958,treatment,1
958,treatment,0
959,control,0
960,control,0
960,control,0
962,treatment,0
962,treatment,0
962,control,0
963,treatment,0
963,control,0
963,treatment,0
966,treatment,0
966,treatment,0
966,control,0
967,control,0
968,treatment,0
968,treatment,0
968,treatment,0
969,treatment,0
971,treatment,0
971,treatment,0
971,control,0
972,control,0
973,treatment,0
973,control,0
975,control,0
975,control,0
976,control,0
976,treatment,0
976,treatment,0
977,treatment,0
978,treatment,1
978,control,0
980,control,0
981,treatment,0
981,control,0
982,control,0
982,treatment,0
984,treatment,0
984,treatment,0
984,control,0
984,control,0
985,control,0
985,control,0
985,treatment,0
986,treatment,0
988,control,0
988,control,0
989,control,0
990,control,0
990,treatment,0
991,treatment,0
992,treatment,0
993,treatment,0
995,treatment,0
996,control,0
997,control,0
997,control,0
997,control,0
997,control,0
997,treatment,0
998,control,0
999,control,1
999,control,0
1000,treatment,0
1000,treatment,1
1000,treatment,0
1000,control,0
1000,treatment,0
1001,control,0
1002,treatment,0
1003,control,0
1004,treatment,0
1004,control,0
1004,control,0
1005,control,0
1005,control,0
1007,control,0
1007,treatment,0
1008,control,0
1011,control,0
1011,control,0
1013,treatment,0
1013,treatment,0
1013,treatment,0
1013,treatment,1
1014,control,1
1014,control,0
1014,control,0
1014,treatment,0
1017,control,0
1018,control,0
1018,control,0
1019,treatment,0
1019,control,0
1019,control,0
1020,treatment,0
1021,treatment,0
1024,control,0
1024,treatment,0
1024,treatment,0
1026,treatment,0
1027,treatment,0
1027,treatment,0
1027,control,0
1028,treatment,0
1030,control,0
1030,treatment,0
1030,treatment,0
1033,treatment,0
1035,control,0
1036,treatment,0
1036,treatment,0
1037,control,0
1037,control,0
1037,treatment,1
1038,control,0
1038,treatment,0
1039,control,0
1039,treatment,0
1040,treatment,0
1041,control,0
1041,control,0
1042,treatment,0
1043,control,0
1043,control,0
1044,control,0
1048,treatment,0
1049,control,0
1049,treatment,0
1050,control,0
1050,control,0
1050,treatment,0
1051,control,0
1051,control,0
1051,treatment,0
1052,treatment,0
1052,control,0
1053,control,0
1054,treatment,0
1055,treatment,0
1055,control,0
1056,control,0
1057,treatment,0
1057,control,1
1058,treatment,0
1058,treatment,0
1059,treatment,0
1060,control,0
1061,control,0
1061,control,0
1061,treatment,0
1063,control,0
1063,control,1
1064,control,0
1065,treatment,0
1066,treatment,0
1066,control,1
1069,control,0
1070,treatment,0
1070,treatment,0
1071,control,0
1071,control,0
1072,control,0
1072,treatment,0
1072,treatment,0
1073,treatment,0
1073,treatment,0
1073,control,0
1075,control,0
1076,control,0
1076,control,0
1076,control,0
1077,treatment,0
1077,control,0
1079,control,0
1079,treatment,0
1080,treatment,0
1080,control,0
1082,control,0
1084,control,0
1084,treatment,0
1084,control,0
1085,control,0
1086,treatment,0
1087,control,0
1087,control,0
1088,control,0
1090,treatment,0
1090,treatment,1
1091,treatment,0
1092,control,0
1092,treatment,0
1094,treatment,0
1094,treatment,0
1095,treatment,0
1096,treatment,0
1096,treatment,0
1097,treatment,0
1097,control,0
1097,treatment,0
1098,treatment,0
1098,control,0
1098,control,0
1099,treatment,0
1099,control,0
1100,treatment,0
1101,treatment,0
1105,treatment,0
1106,treatment,0
1106,control,0
1107,treatment,0
1107,treatment,0
1108,treatment,0
1108,control,0
1110,treatment,0
1110,treatment,0
1111,control,0
1111,control,0
1111,control,0
1111,treatment,0
1111,control,0
1112,treatment,0
1113,treatment,0
1114,treatment,0
1114,control,0
1115,treatment,0
1115,control,0
1117,control,0
1118,treatment,0
1119,treatment,0
1119,control,0
1120,control,0
1121,treatment,0
1121,treatment,0
1122,treatment,0
1124,treatment,0
1125,control,0
1126,control,0
1126,control,0
1127,control,0
1129,control,0
1130,treatment,0
1130,control,0
1131,treatment,0
1132,control,0
1133,control,0
1135,control,0
1137,control,0
1139,treatment,0
1139,treatment,0
1140,treatment,0
1141,treatment,0
1141,control,0
1142,treatment,0
1142,treatment,0
1142,control,0
1143,treatment,0
1143,treatment,0
1144,control,0
1144,treatment,0
1144,control,0
1144,treatment,0
1145,treatment,0
1145,control,0
1146,treatment,0
1146,treatment,0
1146,control,0
1147,treatment,0
1147,treatment,0
1147,control,0
1148,control,0
1149,treatment,0
1149,treatment,0
1150,control,0
1152,control,0
1152,treatment,0
1153,control,0
1153,treatment,0
1153,treatment,0
1153,control,0
1154,control,0
1154,treatment,0
1155,treatment,0
1156,treatment,0
1156,treatment,0
1157,treatment,0
1159,control,0
1159,treatment,0
1160,control,1
1162,control,0
1163,control,0
1164,control,0
1164,control,0
1165,control,0
1166,treatment,0
1166,treatment,0
1167,control,0
1168,treatment,0
1168,treatment,0
1170,control,0
1170,control,0
1171,treatment,0
1171,control,0
1172,control,0
1172,control,0
1172,control,0
1174,treatment,0
1174,treatment,0
1175,treatment,0
1175,treatment,0
1177,control,0
1179,treatment,0
1179,treatment,0
1180,control,0
1182,control,1
1182,control,0
1183,treatment,0
1184,control,0
1185,treatment,0
1185,treatment,1
1185,treatment,0
1185,control,0
1187,treatment,0
1190,treatment,0
1192,treatment,0
1192,control,0
1193,control,0
1193,control,0
1195,treatment,0
1196,control,0
1196,treatment,0
1197,treatment,0
1197,treatment,0
1197,treatment,0
1197,treatment,0
1198,treatment,0
1199,treatment,0
1199,treatment,0
1200,treatment,0
1202,treatment,0
1202,treatment,0
1203,treatment,0
1205,treatment,0
1205,control,0
1207,control,0
1208,control,0
1208,control,0
1208,control,0
1208,treatment,0
1209,control,0
1210,treatment,0
1210,treatment,0
1210,treatment,0
1212,treatment,0
1212,treatment,0
1212,treatment,0
1212,control,0
1213,control,0
1213,control,0
1216,control,0
1216,control,0
1217,treatment,0
1217,treatment,1
1217,treatment,0
1218,control,0
1219,treatment,0
1219,control,0
1219,treatment,0
1219,treatment,0
1220,control,0
1220,control,0
1220,control,0
1220,treatment,0
1223,treatment,0
1223,control,0
1224,treatment,0
1225,treatment,0
1225,control,0
1226,treatment,0
1226,treatment,0
1228,treatment,0
1228,treatment,0
1229,treatment,0
1230,control,0
1230,control,1
1231,treatment,0
1232,treatment,0
1232,control,0
1233,control,0
1234,control,0
1235,control,0
1237,control,0
1238,control,0
1239,treatment,1
1240,treatment,0
1240,treatment,1
1240,control,0
1241,control,0
1241,treatment,0
1242,control,0
1242,control,1
1248,treatment,0
1250,treatment,0
1251,control,0
1252,treatment,0
1253,control,0
1254,treatment,0
1254,control,0
1254,treatment,0
1254,treatment,0
1255,treatment,0
1257,control,0
1257,control,0
1258,treatment,0
1260,treatment,0
1262,control,0
1262,treatment,0
1263,control,0
1265,treatment,0
1265,treatment,0
1267,control,0
1267,treatment,0
1267,treatment,0
1268,treatment,1
1269,control,1
1269,treatment,0
1270,treatment,0
1271,treatment,0
1272,treatment,0
1272,control,0
1273,treatment,0
1273,treatment,0
1273,control,0
1274,treatment,0
1274,treatment,0
1274,control,0
1275,treatment,0
1275,treatment,0
1276,control,0
1277,control,0
1278,treatment,0
1282,control,0
1285,treatment,0
1286,treatment,0
1287,control,0
1287,control,0
1288,treatment,0
1288,control,1
1289,control,0
1290,control,1
1291,control,0
1292,control,0
1293,control,0
1294,treatment,0
1294,treatment,0
1294,control,0
1297,control,0
1297,control,0
1297,treatment,0
1298,control,0
1299,control,1
1300,control,0
1301,control,0
1301,treatment,0
1302,treatment,0
1302,control,0
1303,treatment,0
1303,treatment,0
1305,control,0
1306,control,0
1308,treatment,0
1308,treatment,0
1308,control,0
1308,control,0
1308,treatment,0
1310,control,0
1312,control,0
1314,treatment,0
1315,treatment,0
1315,treatment,0
1316,treatment,0
1317,treatment,0
1317,treatment,0
1318,treatment,0
1318,control,0
1319,control,0
1321,control,0
1321,treatment,0
1322,treatment,0
1323,control,0
1323,treatment,0
1324,treatment,0
1324,control,0
1326,treatment,0
1326,treatment,0
1327,treatment,0
1327,control,0
1327,control,0
1330,treatment,0
1330,treatment,0
1331,control,1
1332,treatment,0
1332,control,0
1334,treatment,0
1334,control,0
1334,treatment,0
1335,treatment,0
1336,control,0
1336,treatment,0
1337,treatment,0
1338,control,0
1339,control,0
1339,treatment,0
1340,control,0
1340,treatment,0
1340,control,0
1341,treatment,0
1343,treatment,0
1343,treatment,0
1343,control,0
1344,treatment,0
1344,treatment,0
1346,treatment,0
1346,treatment,0
1347,control,1
1347,control,0
1347,control,0
1348,control,0
1348,control,0
1349,control,1
1350,treatment,0
1351,control,0
1351,treatment,0
1352,treatment,0
1354,treatment,0
1355,treatment,0
1356,treatment,0
1356,control,0
1357,treatment,0
1357,control,0
1357,control,0
1358,control,0
1359,control,0
1359,treatment,0
1359,control,0
1360,treatment,0
1360,control,1
1361,treatment,0
1362,control,0
1363,control,0
1363,control,0
1363,control,0
1364,control,0
1364,treatment,0
1364,control,0
1365,control,0
1365,treatment,0
1365,treatment,0
1366,control,0
1366,treatment,0
1367,control,0
1368,control,0
1368,control,0
1369,treatment,0
1370,treatment,0
1371,treatment,0
1372,treatment,0
1373,treatment,0
1375,control,0
1375,control,0
1376,treatment,0
1377,treatment,0
1378,treatment,0
1378,control,0
1379,control,0
1379,control,0
1382,treatment,0
1383,treatment,0
1383,treatment,0
1384,treatment,0
1384,control,0
1385,treatment,0
1385,control,0
1385,treatment,0
1385,control,0
1385,control,0
1386,treatment,0
1387,control,0
1387,control,0
1388,treatment,0
1388,control,0
1389,control,0
1389,control,0
1391,control,0
1391,control,0
1392,control,0
1394,control,0
1394,treatment,0
1395,treatment,0
1396,treatment,0
1396,control,0
1397,treatment,0
1397,treatment,0
1398,control,0
1398,treatment,0
1399,treatment,0
1401,treatment,0
1402,treatment,0
1402,control,0
1403,control,0
1404,treatment,0
1404,treatment,0
1404,treatment,0
1405,control,0
1405,treatment,0
1406,control,0
1406,control,0
1407,treatment,0
1407,treatment,0
1407,control,0
1408,control,0
1409,control,0
1409,treatment,0
1410,treatment,0
1410,control,0
1412,treatment,0
1413,treatment,0
1413,treatment,0
1414,control,0
1414,treatment,0
1416,control,0
1417,control,0
1417,control,0
1418,treatment,0
1419,treatment,0
1419,control,0
1419,control,0
1420,treatment,0
1420,control,0
1421,treatment,1
1423,treatment,0
1424,treatment,0
1425,treatment,0
1426,treatment,0
1426,treatment,0
1426,treatment,0
1427,treatment,0
1427,control,0
1427,control,0
1427,control,0
1428,control,0
1428,treatment,0
1430,control,0
1432,control,0
1432,treatment,0
